,GDPC1,UNRATE
232,15066.597,4.966666667
233,15267.026,4.733333333
234,15302.705,4.633333333
235,15326.368,4.633333333
236,15456.928,4.433333333
237,15493.328,4.5
238,15582.085,4.5
239,15666.738,4.666666667
240,15761.967,4.8
241,15671.383,5
242,15752.308,5.333333333
243,15667.032,6
244,15328.027,6.866666667
245,15155.94,8.266666667
246,15134.117,9.3
247,15189.222,9.633333333
248,15356.058,9.933333333
249,15415.145,9.833333333
250,15557.277,9.633333333
251,15671.967,9.466666667
252,15750.625,9.5
253,15712.754,9.033333333
254,15825.096,9.066666667
255,15820.7,9
256,16004.107,8.633333333
257,16129.418,8.266666667
258,16198.807,8.2
259,16220.667,8.033333333
260,16239.138,7.8
261,16382.964,7.733333333
262,16403.18,7.533333333
263,16531.685,7.233333333
264,16663.649,6.933333333
265,16616.54,6.666666667
266,16841.475,6.2
267,17047.098,6.066666667
268,17143.038,5.7
269,17277.58,5.533333333
270,17405.669,5.433333333
271,17463.222,5.1
272,17468.902,5.033333333
273,17556.839,4.933333333
274,17639.417,4.9
275,17735.074,4.9
276,17824.231,4.766666667
277,17925.256,4.6
278,18021.048,4.366666667
279,18163.558,4.3
280,18322.464,4.133333333
281,18438.254,4.066666667
282,18598.135,3.9
283,18732.72,3.8
284,18783.548,3.8
285,18927.281,3.866666667
286,19021.86,3.633333333
287,19112.542,3.633333333
